"filename","nucleus ID","eccentricity","num of G probes","num of R probes","num of Y probes","X center of mass","Y center of mass","area of nucleus","perimeter of nucleus","radius of nucleus"
"image_5_c=1.jpg.png",1,0.933978238210875,0,0,1,842.742748618785,24.2135704419889,5792,378,46.5267154537099
"image_5_c=1.jpg.png",2,0.713924150848791,0,0,1,991.561162918267,44.9619935741713,12761,424,65.994840715199
"image_5_c=1.jpg.png",3,0.778356647823311,0,1,1,804.105379050016,131.652765919202,22253,698,90.8290906592115
"image_5_c=1.jpg.png",4,0.971804167773504,0,0,0,1120.45440366019,146.655609857544,9617,471,69.0221176574864
"image_5_c=1.jpg.png",5,0.841310519188972,0,2,4,1027.00237896991,404.654910590381,50442,904,134.036677704463
"image_5_c=1.jpg.png",6,0.828382830959198,3,1,7,651.093762212256,459.3712991049,107474,1167,191.478249069337
"image_5_c=1.jpg.png",7,1,0,0,0,1068,258.5,2,2,0.5
"image_5_c=1.jpg.png",8,0,0,0,0,1071,259,1,1,0
"image_5_c=1.jpg.png",9,0.971636264205704,0,0,0,1054.12864493997,285.451114922813,583,113,17.0457641671562
"image_5_c=1.jpg.png",10,0,0,0,0,1072,262,1,1,0
"image_5_c=1.jpg.png",11,1,0,0,0,1100.5,262,2,2,0.5
"image_5_c=1.jpg.png",12,0.664847186091092,0,0,0,2298.30581867388,549.878213802436,739,159,16.0384455546129
"image_5_c=1.jpg.png",13,0,0,0,0,2277,557,1,1,0
"image_5_c=1.jpg.png",14,0.704579138740072,0,0,1,2246.15824482352,616.6602295891,9321,332,55.2687845142348
"image_5_c=1.jpg.png",15,0.529393172625089,0,0,2,1818.33147362038,941.825651910249,16490,423,72.1274814343487
"image_5_c=1.jpg.png",16,0.680749115065715,0,1,3,226.721329599057,992.644789209906,27136,571,93.1209851432678
"image_5_c=1.jpg.png",17,0.708341337377909,0,0,0,2009.34421575586,965.126330731015,1409,154,21.5522153916132
"image_5_c=1.jpg.png",18,0.792186590803012,0,0,2,2125.60363287307,1004.67880085653,13543,451,66.6464285980455
"image_5_c=1.jpg.png",19,0.777009609051355,0,1,3,1677.61636408158,1106.21702172316,28587,606,97.524039149979
"image_5_c=1.jpg.png",20,0.915498210282711,0,0,1,2334.59229898075,1128.32470474033,12362,444,67.2723771622807
"image_5_c=1.jpg.png",21,0.683745295009736,0,0,1,1293.25151587207,1110.83277850434,16822,433,73.6026254479181
"image_5_c=1.jpg.png",22,0,0,0,0,289,1056,1,1,0
"image_5_c=1.jpg.png",23,0.825932839946569,0,0,0,306.415083600142,1161.4606189968,28110,717,97.4288133220269
"image_5_c=1.jpg.png",24,0.592620885519353,0,0,1,567.728836889195,1140.87951037263,20342,614,80.8799978665367
"image_5_c=1.jpg.png",25,0.747803471001476,0,3,3,1016.05309199775,1266.74121427689,72817,1057,154.236957269462
"image_5_c=1.jpg.png",26,0.658880193573141,0,2,3,750.366046914888,1218.11543278262,41522,784,116.324740679858
"image_5_c=1.jpg.png",27,0.798487383415293,0,0,0,357.405413782416,1305.13100526914,9679,446,57.5002714297123
"image_5_c=1.jpg.png",28,0.774120990907033,0,1,2,1446.87369128466,1533.52437040181,28272,665,95.8758037395345
"image_5_c=1.jpg.png",29,0.566345536018522,0,0,3,479.418921189716,1537.13301966056,29755,611,97.2581736318797
"image_5_c=1.jpg.png",30,0.668422110357417,0,1,2,1584.91628944646,1583.64100491464,30928,646,99.2021408071561
"image_5_c=1.jpg.png",31,0.63431291486064,1,0,2,1306.52323766877,1662.23699029785,29478,662,96.6165224240546
"image_5_c=1.jpg.png",32,0.509654619661486,0,0,0,1141.91669059436,1638.16571639526,24379,563,88.7438595878732
"image_5_c=1.jpg.png",33,0.624150293098557,0,0,0,978.464758420316,1640.17970515442,18586,507,77.7230660728127
"image_5_c=1.jpg.png",34,0.64631035728543,1,0,0,463.75981702608,1694.80496643498,16833,531,73.7679265275025
"image_5_c=1.jpg.png",35,0.766001216235488,0,0,1,574.909297710663,1727.37805527322,20661,615,82.1022802224087
"image_5_c=1.jpg.png",36,0.787582217130266,0,0,0,577.268939393939,1833.58712121212,264,63,9.24185172519091
"image_5_c=1.jpg.png",37,0.880554345520084,1,0,1,713.201923076923,2004.51687598116,10192,424,61.0041526388485
"image_5_c=1.jpg.png",38,0.198969270106462,1,2,5,1155.66510836149,2054.60649406743,39359,682,111.771041641685
"image_5_c=1.jpg.png",39,0.797624015171572,0,0,0,1891.90300505802,1996.96816423683,3361,292,35.0587880545586
"image_5_c=1.jpg.png",40,0.880751249004509,0,0,0,764.852191519771,2069.33861362554,8396,339,55.1552118451266
"image_5_c=1.jpg.png",41,0.826893298092159,1,2,2,392.085417127683,2106.27041380836,13557,464,70.2245308462629
"image_5_c=1.jpg.png",42,0.833277981840734,0,0,0,1875.84980237154,2100.79424054207,8855,402,55.5369256105389
"image_5_c=1.jpg.png",43,0,0,0,0,1908,2056,1,1,0
