"filename","nucleus ID","eccentricity","num of G probes","num of R probes","num of Y probes","X center of mass","Y center of mass","area of nucleus","perimeter of nucleus","radius of nucleus"
"image_2_c=1.jpg.png",1,0.646414501736065,0,0,1,1757.53701940984,148.281463394446,24163,526,87.4944225238162
"image_2_c=1.jpg.png",2,0.752483497521201,0,0,0,1938.64364981504,194.396820503787,22708,582,88.6685532391073
"image_2_c=1.jpg.png",3,0.673608284138254,0,0,0,49.7086848159509,225.627588190184,10432,379,58.645134846791
"image_2_c=1.jpg.png",4,0.7910456419839,0,0,2,1089.63547356921,603.573493570888,23798,512,87.7833459492847
"image_2_c=1.jpg.png",5,0.923866346649507,0,0,0,743.183565436925,621.436436191872,12279,427,65.8241225782664
"image_2_c=1.jpg.png",6,0.498581075854651,0,0,2,520.298797703264,987.33892713257,31523,575,100.223643792733
"image_2_c=1.jpg.png",7,0.829058605068914,0,0,1,1711.06241508152,1180.46985394022,35328,623,109.128554749175
"image_2_c=1.jpg.png",8,0.511046342997752,0,0,2,1932.5408861807,1253.47521251787,26586,520,91.6162760016778
"image_2_c=1.jpg.png",9,0.908222772708072,3,1,0,653.821811393472,1267.40130073467,33212,950,115.526315358118
"image_2_c=1.jpg.png",10,0.830212134420011,5,2,4,373.329438262382,1322.26586089245,44843,827,124.957730067796
"image_2_c=1.jpg.png",11,0.418271228523636,0,0,1,2508.53614178343,1307.35167486313,10777,375,58.5173150724309
"image_2_c=1.jpg.png",12,0.64545703895343,1,0,1,151.713301536831,1385.57000529942,18870,503,77.7365164997771
"image_2_c=1.jpg.png",13,0.940159334232367,3,1,1,588.089009742165,1499.87984662937,25559,663,97.6241545347269
"image_2_c=1.jpg.png",14,0.65969365024231,1,0,5,866.523980628027,1570.40845180441,38406,729,111.17200576052
"image_2_c=1.jpg.png",15,0.837454721722206,2,0,4,307.941438982125,1609.31127305529,42127,721,117.976762661336
"image_2_c=1.jpg.png",16,0.776079196957587,2,0,4,2228.90840933547,1666.93395311094,56687,810,134.499042168545
"image_2_c=1.jpg.png",17,0.657232259705018,2,0,2,1448.20159902156,1744.43535966661,44152,695,118.63475170556
"image_2_c=1.jpg.png",18,0.558372068524082,0,0,5,1812.00975974639,1769.85346132611,56149,787,133.292067746345
"image_2_c=1.jpg.png",19,0.53459423128064,1,0,3,945.656911490513,1779.64146528717,54706,800,131.6370890723
"image_2_c=1.jpg.png",20,0.778703038796383,0,0,1,651.665941684225,1788.51627812139,14713,420,69.8467204788203
