"filename","nucleus ID","eccentricity","num of G probes","num of R probes","num of Y probes","X center of mass","Y center of mass","area of nucleus","perimeter of nucleus","radius of nucleus"
"tile_x=4_y=2_c=1.jpg.png",1,0.871698644903469,1,3,1,459.16149995609,70.6035830332836,34161,751,106.460747978253
"tile_x=4_y=2_c=1.jpg.png",2,0.829667012232099,5,11,5,814.540191570881,102.589948914432,78300,1185,168.627373790416
"tile_x=4_y=2_c=1.jpg.png",3,0.676840485465165,0,0,1,1248.60938052204,67.9029635987277,19807,556,81.3122903131871
"tile_x=4_y=2_c=1.jpg.png",4,0.816627811286074,0,1,0,1388.06786011657,35.8598390230364,7206,404,52.0080302061756
"tile_x=4_y=2_c=1.jpg.png",5,0.861471765183086,1,3,2,1548.04384822436,36.3070243987149,11517,451,65.4645421156239
"tile_x=4_y=2_c=1.jpg.png",6,0.94048554016133,1,3,2,2157.99515023722,40.8292040063258,18970,642,85.4089665467024
"tile_x=4_y=2_c=1.jpg.png",7,0.77636220995124,0,0,1,166.806894243641,72.6946117804551,5976,374,45.5881089647017
"tile_x=4_y=2_c=1.jpg.png",8,0.919320816029576,0,0,0,2464.86739987549,133.444490558207,9638,454,63.4741872601582
"tile_x=4_y=2_c=1.jpg.png",9,0.710228674520906,8,6,2,2233.21634297653,168.616560428081,46907,809,123.303930072779
"tile_x=4_y=2_c=1.jpg.png",10,0,0,0,0,2052,69,1,1,0
"tile_x=4_y=2_c=1.jpg.png",11,0.584031979235403,0,1,0,2045.38490447855,118.862824929533,3193,257,32.1994402109296
"tile_x=4_y=2_c=1.jpg.png",12,0.763854762786227,1,2,2,390.204540303694,216.726184180706,26474,950,96.0951486407194
"tile_x=4_y=2_c=1.jpg.png",13,0.788892425910946,0,2,1,206.146768840297,197.986235845373,20488,526,82.3700265113865
"tile_x=4_y=2_c=1.jpg.png",14,0.750612986745391,0,0,1,73.6977374397798,213.035572952512,23248,622,85.7353647409464
"tile_x=4_y=2_c=1.jpg.png",15,0.652295512666158,1,6,5,580.388731707317,233.576463414634,41000,1010,118.375137706089
"tile_x=4_y=2_c=1.jpg.png",16,0.635410878322944,2,4,1,1438.09432536411,274.843294861226,29112,721,95.9289411779265
"tile_x=4_y=2_c=1.jpg.png",17,0.574388609516389,2,4,2,1268.99266947307,261.222093192045,27556,632,94.5017715957904
"tile_x=4_y=2_c=1.jpg.png",18,0.881505652191924,1,2,0,2526.06922839188,264.660245183888,9707,433,59.7514286257928
"tile_x=4_y=2_c=1.jpg.png",19,0.32185951824826,0,2,1,1610.50697021362,293.077524821984,9971,468,59.5431753078297
