"filename","nucleus ID","eccentricity","num of G probes","num of R probes","num of Y probes","X center of mass","Y center of mass","area of nucleus","perimeter of nucleus","radius of nucleus"
"image_4_c=1.jpg.png",1,0.789879848495643,0,0,0,507.013120744062,52.8307590101312,18063,490,76.9460241956016
"image_4_c=1.jpg.png",2,0.698732742629455,0,1,1,1057.31107205624,159.316676061943,30157,573,98.0786011777596
"image_4_c=1.jpg.png",3,0.282218397764011,2,1,2,295.394004826623,222.61450527118,23619,551,86.3372647523185
"image_4_c=1.jpg.png",4,0.710368368523095,0,1,1,420.800969447709,240.271445358402,13616,475,65.3717301500802
"image_4_c=1.jpg.png",5,0.619492795137309,1,0,0,503.317457154245,304.473096851335,15054,434,68.375514977254
"image_4_c=1.jpg.png",6,0.611588639042014,1,1,1,1261.24988073942,374.970184853906,33540,669,104.161857946478
"image_4_c=1.jpg.png",7,0.745172923174754,0,5,3,1040.77098847292,458.234458839131,49015,784,125.654379095777
"image_4_c=1.jpg.png",8,0.8116465969863,0,1,0,723.680188173152,469.697726241076,24233,542,88.924040254356
"image_4_c=1.jpg.png",9,0.572574225609554,1,1,1,1647.58000334392,497.419244273533,23924,525,87.3404438521327
"image_4_c=1.jpg.png",10,0.534174289527211,1,0,0,1511.56841868486,485.773187373472,13337,520,66.6035510194369
"image_4_c=1.jpg.png",11,0.875462998991329,0,1,1,480.794508915935,595.437588451741,28264,622,98.2566511676162
"image_4_c=1.jpg.png",12,0.474089557904292,1,1,2,1931.45955616135,630.000979682242,23477,524,86.1115648161437
"image_4_c=1.jpg.png",13,0.5352101824527,0,2,2,2132.13529495923,695.213505651199,20969,515,81.1727668288957
"image_4_c=1.jpg.png",14,0.653334197003441,0,0,0,1424.64163424125,652.652529182879,2570,260,29.9620489503342
"image_4_c=1.jpg.png",15,0,0,0,0,1406,626,1,1,0
"image_4_c=1.jpg.png",16,0.57997913638507,0,0,0,1385.45486111111,641.534722222222,576,105,13.5337636438091
"image_4_c=1.jpg.png",17,0.519142030039711,0,0,2,2007.56272264631,719.734860050891,7860,572,55.0812773789336
"image_4_c=1.jpg.png",18,0.492560005136806,1,0,1,1401.89890700842,766.496979432203,28637,662,97.0159045447466
"image_4_c=1.jpg.png",19,0.790574672686373,1,3,2,285.83858008911,731.782302242349,27382,568,94.272616929539
"image_4_c=1.jpg.png",20,0.847699165581742,0,0,0,1355.07142857143,670.2,70,29,4.36917964221467
"image_4_c=1.jpg.png",21,0.447537361140632,1,0,0,1720.34051645199,790.887979976802,16381,435,71.8294313536831
