"filename","nucleus ID","eccentricity","num of G probes","num of R probes","num of Y probes","X center of mass","Y center of mass","area of nucleus","perimeter of nucleus","radius of nucleus"
"tile_x=4_y=5_c=1.jpg.png",1,0.87601917016553,0,1,0,543.167783911672,34.9112776025237,10144,529,68.3483090474199
"tile_x=4_y=5_c=1.jpg.png",2,0.775577621523758,0,0,0,695.870892190588,48.6325111615311,13663,446,66.777439186904
"tile_x=4_y=5_c=1.jpg.png",3,0.823404745167997,0,2,0,1050.46584339616,60.3909280607533,29233,728,102.317029875007
"tile_x=4_y=5_c=1.jpg.png",4,0.885374922675705,0,0,0,1304.17194119113,29.8585846000498,8026,370,53.7939023654335
"tile_x=4_y=5_c=1.jpg.png",5,0.767201929165089,0,0,0,1467.90766119973,27.4895529094585,4451,257,38.5666706178208
"tile_x=4_y=5_c=1.jpg.png",6,0.79003381268337,0,0,0,1549.38533501896,25.8371681415929,3955,240,36.018230003911
"tile_x=4_y=5_c=1.jpg.png",7,0.681170010474328,1,1,0,1651.13457181695,33.9472889291648,6621,324,46.6532654005082
"tile_x=4_y=5_c=1.jpg.png",8,0.85759442081998,0,0,1,2124.29480256497,28.9449881876477,5926,380,45.4827890742194
"tile_x=4_y=5_c=1.jpg.png",9,0.324128473423395,0,2,0,2332.94116894744,72.2376262949226,15638,425,70.7625969006386
"tile_x=4_y=5_c=1.jpg.png",10,0.610732371877123,0,0,1,2164.64515941015,108.875269569272,17157,510,73.8750836631
"tile_x=4_y=5_c=1.jpg.png",11,0.677601434664856,1,10,2,351.10273552084,272.183334470291,87954,1096,169.48264428363
"tile_x=4_y=5_c=1.jpg.png",12,0.747628283413797,0,1,0,1370.12939836781,128.913304232302,26345,570,91.7137241581173
"tile_x=4_y=5_c=1.jpg.png",13,0.312436243052552,0,2,1,1987.15738391527,146.593773911643,24831,535,88.8818320169017
"tile_x=4_y=5_c=1.jpg.png",14,0.751994432446585,1,2,0,1666.61650713949,150.269810136513,12746,433,65.2853580104983
"tile_x=4_y=5_c=1.jpg.png",15,0.825210057830384,1,1,0,2402.27791636097,135.755392516508,6815,347,46.0036655437841
"tile_x=4_y=5_c=1.jpg.png",16,0.63510518419314,0,3,1,569.195684140872,155.040291155062,27202,694,94.955433635559
"tile_x=4_y=5_c=1.jpg.png",17,1,0,0,0,718.5,94,2,2,0.5
"tile_x=4_y=5_c=1.jpg.png",18,0,0,0,0,720,95,1,1,0
"tile_x=4_y=5_c=1.jpg.png",19,0,0,0,0,721,96,1,1,0
"tile_x=4_y=5_c=1.jpg.png",20,0.563078724923676,0,0,0,743.471008028546,129.843443354148,2242,201,26.5287059749612
"tile_x=4_y=5_c=1.jpg.png",21,0,0,0,0,647,97,1,1,0
"tile_x=4_y=5_c=1.jpg.png",22,0.813171653154348,1,2,0,116.78304576144,187.105576394099,19995,557,82.6223595170509
"tile_x=4_y=5_c=1.jpg.png",23,0,0,0,0,420,126,1,1,0
"tile_x=4_y=5_c=1.jpg.png",24,0,0,0,0,421,127,1,1,0
"tile_x=4_y=5_c=1.jpg.png",25,0.404161254098033,2,0,1,2115.69903742353,238.88615509176,22232,515,84.0236484106304
